195,Youth (2017),CL,"$1,891,956",35,"$338,604",30,12/15,-
196,A Quiet Passion,MBox,"$1,865,396",135,"$45,825",6,4/14,7/13
197,Toilet: Ek Prem Katha,Relbig.,"$1,830,715",178,"$678,436",178,8/11,9/7
198,The Wall,RAtt.,"$1,803,064",540,"$897,955",540,5/12,6/22
199,Free Fire,A24,"$1,799,312","1,070","$994,431","1,070",4/21,5/18
200,The Last Word,BST,"$1,783,421",380,"$31,630",4,3/3,5/25
Totals:,"$11,076,670,784",-,-,-,-,-
Averages:,"$15,257,122",-,-,-,-,-
201,Goodbye Christopher Robin,FoxS,"$1,735,251",262,"$57,917",9,10/13,12/21
202,Jane (2017),Abr.,"$1,713,514",96,"$58,348",3,10/20,-
203,Menashe,A24,"$1,703,036",126,"$62,078",3,7/28,10/19
204,Slamma Jamma,RivR,"$1,687,000",502,"$1,687,000",502,3/24,3/26
205,Jab Harry Met Sejal,Yash,"$1,664,648",280,"$1,284,740",280,8/4,8/10
206,Jolly Llb 2,FIP,"$1,654,254",173,"$774,355",173,2/10,3/2
207,The Little Hours,G&S,"$1,647,175",114,"$56,676",2,6/30,10/12
208,A Ghost Story,A24,"$1,596,371",329,"$104,030",4,7/7,9/28
209,Professor Marston & the Wonder Women,Annapurna,"$1,584,759","1,229","$736,883","1,229",10/13,11/20
210,The Stray,Purd.,"$1,579,440",640,"$596,547",640,10/6,12/14
211,Genesis: Paradise Lost,Fathom,"$1,575,000",419,N/A,N/A,11/13,12/11
212,A Taxi Driver,WGUSA,"$1,527,829",41,"$331,854",41,8/11,10/19
213,Sword Art Online: The Movie - Ordinal Scale,Elev.,"$1,522,976",621,"$196,454",578,3/9,5/4
214,Inhumans,Imax,"$1,521,787",393,"$1,135,440",393,9/1,9/7
215,Mully,Fathom,"$1,489,771",738,N/A,N/A,10/3,10/5
216,The Square,Magn.,"$1,487,823",70,"$74,233",4,10/27,-
217,Judwaa 2,FIP,"$1,431,255",192,"$638,045",192,9/29,10/19
218,The Wedding Plan,RAtt.,"$1,412,404",123,"$31,658",8,5/12,8/10
219,Wonder Wheel,Amazon,"$1,401,853",536,"$125,570",5,12/1,2/1
220,My Friend Dahmer,FR,"$1,361,611",110,"$35,545",4,11/3,-
221,The Dinner,Orch.,"$1,323,312",505,"$653,944",505,5/5,6/15
222,Personal Shopper,IFC,"$1,305,195",153,"$79,175",4,3/10,6/11
223,Churchill,Cohen,"$1,281,258",215,"$408,891",215,6/2,8/16
224,The Sense of an Ending,CBS,"$1,274,420",282,"$39,692",4,3/10,4/6
